geometry_id,system,split,sample_kind,region,charge,multiplicity,qm_method,qm_basis,qm_energy_hartree,qm_energy_eV,s2,wall_seconds,status,error
h3_reactant_reference_0000,h3,train,reactant_reference,reactant_reference,0,2,wb97x-d,jun-cc-pvdz,-1.6731707531137958,-45.52929561847012,,1.0512010999955237,ok,
h3_product_reference_0000,h3,train,product_reference,product_reference,0,2,wb97x-d,jun-cc-pvdz,-1.6731707531138584,-45.52929561847183,,0.5471353999892017,ok,
h3_dense_transfer_0000,h3,train,dense_transfer_scan,transfer_microscope,0,2,wb97x-d,jun-cc-pvdz,-1.6528194341244433,-44.97550801683555,,0.39889250000123866,ok,
h3_dense_transfer_0001,h3,train,dense_transfer_scan,transfer_microscope,0,2,wb97x-d,jun-cc-pvdz,-1.654296316766406,-45.01569604084599,,0.3844431000034092,ok,
h3_dense_transfer_0002,h3,train,dense_transfer_scan,transfer_microscope,0,2,wb97x-d,jun-cc-pvdz,-1.6555398044688971,-45.04953306501061,,0.4014136000041617,ok,
h3_dense_transfer_0003,h3,train,dense_transfer_scan,transfer_microscope,0,2,wb97x-d,jun-cc-pvdz,-1.6565826821486873,-45.0779112123627,,0.3814416999957757,ok,
h3_dense_transfer_0004,h3,train,dense_transfer_scan,transfer_microscope,0,2,wb97x-d,jun-cc-pvdz,-1.6574539248500797,-45.10161893402429,,0.3957978000107687,ok,
h3_dense_transfer_0005,h3,train,dense_transfer_scan,transfer_microscope,0,2,wb97x-d,jun-cc-pvdz,-1.6581790911253222,-45.12135171363247,,0.4071473999938462,ok,
h3_dense_transfer_0006,h3,train,dense_transfer_scan,transfer_microscope,0,2,wb97x-d,jun-cc-pvdz,-1.6587806642223804,-45.13772135153172,,0.41295239998726174,ok,
h3_dense_transfer_0007,h3,train,dense_transfer_scan,transfer_microscope,0,2,wb97x-d,jun-cc-pvdz,-1.6592783578045653,-45.1512642838287,,0.4157744999974966,ok,
