system,point_label,path_index,donor_A,transfer_A,relative_path_energy_eV,model_gap_eV,hf_fragment_internal_gap_eV,exch10_interaction_gap_eV,sapt_total_interaction_gap_eV,exchange_proxy_gap_eV,sapt_total_proxy_gap_eV,dimer_hf_state_difference_eV
formaldehyde,reactant_side,4,1.08,1.1700000000000004,0.00975488454040807,13.115017842556885,1.425302140346048,6.10416603280747,-2.221716364503868,7.529468173153418,-0.7964142241580703,-8.913048077374697e-11
formaldehyde,early_climb,8,1.2400000000000002,1.1700000000000004,0.22958431181885075,9.743715327238466,1.1696783128099923,3.707570721195852,-1.6643090434512782,4.877249034006127,-0.4946307306413473,-1.0822986951097846e-10
formaldehyde,barrier,13,1.2800000000000002,1.0100000000000002,0.7504821630758638,3.7363958414515412,0.18516284858515064,2.6337171399521373,-0.5245140532713607,2.8188799885374465,-0.33935120468595414,2.4374458007514477e-10
formaldehyde,closest_gap,19,1.3600000000000003,0.8500000000000002,0.7418256366267855,-0.1309168731938719,-0.8060984623116383,0.8492816575010145,0.7041998286643961,0.04318319518915814,-0.10189863364712437,-1.4142642612569034e-10
formaldehyde,product_side,31,1.7200000000000006,0.7300000000000001,-0.43236341353407326,-9.735140030215248,-2.720737712272694,-2.4293902100786644,3.0439617760404665,-5.150127922351203,0.32322406376761137,-5.557012627832592e-10
methane,reactant_side,4,1.08,1.1700000000000004,0.009754134373661572,13.865537992342789,2.058456007425775,5.144533421729274,-2.7497947686795854,7.202989429154968,-0.6913387612539736,6.366462912410498e-12
methane,early_climb,12,1.2400000000000002,1.0100000000000002,0.7411437456232939,5.1117422155227885,0.909452857496035,2.457562906775035,-1.2444875264068471,3.3670157642709455,-0.3350346689107937,4.6838977141305804e-11
methane,barrier,21,1.4400000000000004,0.8500000000000002,0.9572742409227324,-1.118511912718228,-0.6673483000251963,-0.31742194029812687,0.6896976084632525,-0.9847702403233143,0.022349308437924265,-9.026734915096313e-11
methane,closest_gap,19,1.4000000000000004,0.8900000000000002,0.8950843289435007,0.24901679662969833,-0.33051508482617464,0.24879709194404453,0.27885835659320224,-0.08171799288220427,-0.051656728232956084,3.115019353572279e-11
methane,product_side,31,1.7200000000000006,0.7300000000000001,0.06408853567590356,-9.732586783152959,-2.306240133543497,-2.6083623283719124,2.6378110069335747,-4.914602461915365,0.33157087339009195,8.458300726488233e-11
